mes,receita_contratual,receita_sucumbencial,desp_andrieli,desp_marketing,desp_software,desp_impostos,desp_contabilidade,desp_energia,desp_telefone,desp_custas,nao_recebido
2026-01,14133.75,2010.69,3000.00,3000.00,4332.00,364.44,170.00,0,51.13,0,4885.16
2026-02,16711.01,0,4590.00,1000.00,22.50,647.67,180.00,0,0,0,3165.27
2026-03,18904.00,4162.52,6180.00,0,98.50,421.94,180.00,304.12,48.91,106.82,1840.27
2026-04,24476.00,0,3000.00,1666.00,22.50,1112.93,180.00,0,51.13,0,1104.16
2026-05,22798.44,9009.77,8830.00,1500.00,22.50,480.94,180.00,107.18,51.13,90.00,4515.27
2026-06,27273.78,8246.94,8829.28,0,22.50,371.94,170.00,0,51.13,0,7632.27
